Match,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3
1,2834,4381,6120,4422,226,5144
2,4395,240,862,9993,9996,3538
3,6861,9245,8373,6081,8280,9992
4,2832,7196,3538,6570,2834,4422
5,5144,4395,4381,226,9996,6081
6,9992,9245,7196,9993,240,6120
7,8373,862,6570,8280,6861,2832
8,226,4395,2834,9992,240,6081
9,9245,6570,3538,6120,9993,862
10,6861,4381,8280,5144,9996,7196
11,8373,9992,226,2832,4422,9993
12,8280,6861,6570,240,3538,6120
13,8373,2834,4422,9245,9996,5144
14,862,7196,4381,2832,6081,4395
15,8280,226,3538,240,9996,9245
16,9992,7196,5144,2832,4381,9993
17,8373,4422,862,6120,6081,6570
18,6861,2834,7196,4395,3538,9245
19,4381,6120,9992,8373,8280,9996
20,6081,4395,5144,4422,6570,240
21,2834,226,2832,862,9993,6861
22,6570,9992,9996,7196,8373,5144
23,2834,862,6081,240,6861,226
24,4422,3538,4395,9993,9245,8280
25,2832,6120,8373,4381,240,226
26,3538,862,9992,6081,5144,6861
27,4395,9993,6570,4381,8280,2834
28,4422,2832,9245,6120,7196,9996
29,3538,5144,6861,9993,8373,4381
30,240,2832,2834,6081,4422,8280
31,4395,6570,7196,226,9992,9245
32,9996,862,2832,6120,5144,240
33,6081,8373,3538,7196,9993,226
34,6861,4422,6120,8280,9992,4395
35,6570,4381,862,9996,2834,9245
36,4422,7196,6861,4395,8373,240
37,6570,3538,6081,9996,2832,9992
38,226,6120,8280,5144,9993,2834
39,862,9245,240,4381,9992,4422
40,9996,6861,4395,2834,6120,9993
41,3538,8373,2832,9245,6081,4381
42,7196,6570,226,862,5144,8280
43,3538,4395,6120,2834,2832,9992
44,6570,226,6861,4381,4422,9996
45,7196,8280,8373,9993,862,6081
46,240,9245,4395,5144,6570,2832
47,9992,6861,9993,9996,6081,4422
48,9245,6120,8373,5144,226,862
49,7196,8280,240,3538,2834,4381
